product,content,date_time,sentiment
OnePlus,The fast charging feature is a lifesaver.,7/16/2016 14:57,positive
Samsung Galaxy,The sound quality during calls is not very clear.,8/29/2016 18:58,negative
Xiaomi,Satisfied with the overall performance of this phone.,9/10/2016 23:37,neutral
OnePlus,"Loving the new software update, everything runs smoother.",9/6/2016 8:39,positive
Samsung Galaxy,The fast charging feature is a lifesaver.,8/19/2016 8:44,positive
Xiaomi,The fingerprint sensor is slow to respond.,7/26/2016 23:37,negative
iPhone,"Great value for money, highly recommend this phone.",8/24/2016 22:41,positive
Xiaomi,"Good phone, but it lacks a headphone jack.",8/24/2016 5:23,neutral
iPhone,The phone's build quality feels cheap and fragile.,8/14/2016 17:18,negative
Xiaomi,The phone often lags when switching between apps.,9/26/2016 4:32,negative
iPhone,The night mode camera feature is impressive.,7/24/2016 23:20,positive
Samsung Galaxy,"Great value for money, highly recommend this phone.",8/9/2016 20:52,positive
Xiaomi,"Great value for money, highly recommend this phone.",9/24/2016 15:30,positive
iPhone,The phone heats up too quickly during gaming sessions.,7/14/2016 22:10,negative
OnePlus,The sound quality during calls is not very clear.,8/4/2016 23:54,negative
Xiaomi,The phone often lags when switching between apps.,7/14/2016 21:43,negative
iPhone,"Good phone, but it lacks a headphone jack.",7/8/2016 13:10,neutral
Xiaomi,The sound quality during calls is not very clear.,8/16/2016 3:30,negative
iPhone,The phone's battery drains quickly when using 5G.,9/5/2016 6:07,negative
Google Pixel,"It's a good phone, but the speaker isn't very loud.",8/10/2016 19:57,neutral
iPhone,"Loving the new software update, everything runs smoother.",9/13/2016 8:57,positive
OnePlus,The phone's design is sleek and modern.,7/22/2016 14:22,positive
iPhone,The sound quality during calls is not very clear.,9/28/2016 0:06,negative
Google Pixel,The phone's build quality feels cheap and fragile.,9/25/2016 23:44,negative
iPhone,The face recognition feature is really fast and accurate.,9/29/2016 19:27,positive
Xiaomi,The phone heats up too quickly during gaming sessions.,8/15/2016 16:45,negative
Xiaomi,The phone's build quality feels cheap and fragile.,7/24/2016 5:08,negative
OnePlus,The night mode camera feature is impressive.,8/15/2016 19:34,positive
Samsung Galaxy,The face recognition feature is really fast and accurate.,8/19/2016 21:56,positive
Samsung Galaxy,The phone's software is full of bugs.,8/1/2016 20:46,negative
iPhone,The fast charging feature is a lifesaver.,7/13/2016 22:30,positive
Samsung Galaxy,The phone's build quality feels cheap and fragile.,9/22/2016 5:40,negative
Samsung Galaxy,The phone's software is full of bugs.,8/20/2016 8:50,negative
Samsung Galaxy,"Good phone, but it lacks a headphone jack.",8/13/2016 19:03,neutral
iPhone,The phone's design is sleek and modern.,7/13/2016 21:54,positive
Samsung Galaxy,"It's a good phone, but the speaker isn't very loud.",9/23/2016 11:04,neutral
Google Pixel,The phone's software is full of bugs.,7/28/2016 15:39,negative
Google Pixel,"Great value for money, highly recommend this phone.",8/6/2016 4:38,positive
iPhone,"Loving the new software update, everything runs smoother.",8/5/2016 4:29,positive
Xiaomi,The face recognition feature is really fast and accurate.,8/15/2016 3:52,positive
Xiaomi,The phone heats up too quickly during gaming sessions.,7/16/2016 11:16,negative
OnePlus,The phone heats up too quickly during gaming sessions.,9/11/2016 0:15,negative
OnePlus,The fingerprint sensor is slow to respond.,8/11/2016 20:46,negative
Samsung Galaxy,The battery life of this phone is amazing! Lasts all day.,7/14/2016 18:44,positive
OnePlus,The phone's battery drains quickly when using 5G.,9/10/2016 1:09,negative
Xiaomi,I hate how slow the phone gets after a few months.,8/16/2016 23:40,negative
Google Pixel,The phone's design is sleek and modern.,9/1/2016 9:11,positive
Samsung Galaxy,Satisfied with the overall performance of this phone.,7/1/2016 3:51,neutral
Xiaomi,The battery life of this phone is amazing! Lasts all day.,8/31/2016 17:42,positive
Google Pixel,The face recognition feature is really fast and accurate.,7/6/2016 23:43,positive
OnePlus,The phone often lags when switching between apps.,8/28/2016 9:12,negative
Xiaomi,The sound quality during calls is not very clear.,9/27/2016 8:04,negative
