product,content,date_time,sentiments
OnePlus,Just got my new OnePlus! Loving it so far.,2016-07-11 18:20:27,positive
Xiaomi,The display on the Xiaomi is so vibrant and clear.,2016-09-22 19:45:28,t
Xiaomi,Experiencing connectivity issues with the Xiaomi.,2016-07-10 14:46:05,t
Samsung Galaxy,Experiencing connectivity issues with the Samsung Galaxy.,2016-07-11 14:28:30,t
Google Pixel,I regret buying the Google Pixel. Not worth the money.,2016-07-24 01:35:34,t
Google Pixel,Battery life on the Google Pixel could be better.,2016-07-15 15:31:22,t
OnePlus,Not too impressed with the OnePlus. Expected more.,2016-09-10 12:34:29,t
Xiaomi,Having some issues with my Xiaomi. Anyone else?,2016-08-03 20:40:29,t
OnePlus,Really happy with the performance of my new OnePlus.,2016-09-01 00:49:03,t
Samsung Galaxy,The Samsung Galaxy has exceeded my expectations!,2016-07-25 23:22:36,t
Google Pixel,I'm impressed with the build quality of the Google Pixel.,2016-07-19 21:28:41,t
iPhone,The iPhone keeps crashing. Frustrated!,2016-07-03 04:54:22,t
iPhone,The camera quality on the iPhone is amazing.,2016-08-29 12:10:40,t
iPhone,The iPhone is really sleek and fast.,2016-07-01 18:14:16,t
Samsung Galaxy,Not too impressed with the Samsung Galaxy. Expected more.,2016-09-08 06:30:53,t
OnePlus,The camera quality on the OnePlus is amazing.,2016-08-19 23:56:48,t
OnePlus,Why is my OnePlus overheating?,2016-07-18 01:56:27,t
OnePlus,I'm impressed with the build quality of the OnePlus.,2016-09-03 21:22:42,t
Xiaomi,My Xiaomi runs all my apps smoothly.,2016-07-16 12:58:05,t
iPhone,The camera quality on the iPhone is amazing.,2016-08-03 05:47:01,t
Samsung Galaxy,The Samsung Galaxy is a great value for the price.,2016-08-30 17:31:51,t
Xiaomi,The camera quality on the Xiaomi is amazing.,2016-09-01 09:22:40,t
iPhone,Not too impressed with the iPhone. Expected more.,2016-07-25 08:37:52,t
Samsung Galaxy,Why is my Samsung Galaxy overheating?,2016-07-13 01:34:59,t
iPhone,Touchscreen on my iPhone is unresponsive at times.,2016-09-12 01:23:35,t
iPhone,Not too impressed with the iPhone. Expected more.,2016-07-12 17:49:28,t
Google Pixel,The Google Pixel is really sleek and fast.,2016-07-11 19:25:49,t
iPhone,Having some issues with my iPhone. Anyone else?,2016-07-04 00:59:27,t
Google Pixel,I regret buying the Google Pixel. Not worth the money.,2016-09-20 02:00:18,t
Google Pixel,I'm impressed with the build quality of the Google Pixel.,2016-08-11 02:41:01,t
OnePlus,Why is my OnePlus overheating?,2016-09-29 04:36:42,t
Xiaomi,Battery life on the Xiaomi could be better.,2016-09-05 22:56:32,t
iPhone,Just got my new iPhone! Loving it so far.,2016-08-03 08:06:02,t
Xiaomi,The Xiaomi has exceeded my expectations!,2016-09-07 13:41:36,t
Xiaomi,Really happy with the performance of my new Xiaomi.,2016-08-24 00:14:35,t
Samsung Galaxy,Battery life on the Samsung Galaxy is excellent.,2016-09-13 23:31:04,t
OnePlus,Why is my OnePlus overheating?,2016-09-11 06:36:40,t
OnePlus,The camera on the OnePlus is disappointing.,2016-07-02 01:50:32,t
Xiaomi,Battery life on the Xiaomi is excellent.,2016-07-10 20:01:59,t
OnePlus,Really happy with the performance of my new OnePlus.,2016-07-12 07:21:13,t
iPhone,The camera quality on the iPhone is amazing.,2016-09-11 05:00:34,t
iPhone,The display on the iPhone is so vibrant and clear.,2016-08-26 03:15:36,t
iPhone,The iPhone keeps crashing. Frustrated!,2016-08-18 15:38:30,t
Xiaomi,The Xiaomi keeps crashing. Frustrated!,2016-09-21 04:52:01,t
OnePlus,Having some issues with my OnePlus. Anyone else?,2016-07-10 23:28:30,t
Google Pixel,The Google Pixel is a great value for the price.,2016-07-17 05:04:56,t
Xiaomi,The Xiaomi is a great value for the price.,2016-08-24 03:19:05,t
iPhone,The camera quality on the iPhone is amazing.,2016-08-23 23:51:20,t
Samsung Galaxy,My Samsung Galaxy runs all my apps smoothly.,2016-07-15 09:56:07,t
Google Pixel,Why is my Google Pixel overheating?,2016-08-12 21:53:42,t
OnePlus,Really happy with the performance of my new OnePlus.,2016-09-24 06:26:20,t
iPhone,Not too impressed with the iPhone. Expected more.,2016-09-02 21:35:29,t
iPhone,The camera on the iPhone is disappointing.,2016-09-17 07:04:31,t
OnePlus,The OnePlus is a great value for the price.,2016-08-24 13:44:21,t
Google Pixel,The Google Pixel is really sleek and fast.,2016-09-11 03:32:45,t
Xiaomi,My Xiaomi runs all my apps smoothly.,2016-09-05 06:20:43,t
iPhone,Why is my iPhone overheating?,2016-08-09 01:51:57,t
Xiaomi,My Xiaomi runs all my apps smoothly.,2016-07-20 10:38:47,t
iPhone,My iPhone is slower than expected.,2016-07-05 17:51:32,t
OnePlus,The OnePlus is a great value for the price.,2016-07-15 23:47:20,t
Xiaomi,The camera on the Xiaomi is disappointing.,2016-07-21 03:18:43,t
Google Pixel,Why is my Google Pixel overheating?,2016-09-28 02:40:36,t
Google Pixel,I regret buying the Google Pixel. Not worth the money.,2016-09-11 04:55:11,t
Xiaomi,The camera quality on the Xiaomi is amazing.,2016-07-27 03:40:05,t
Samsung Galaxy,The Samsung Galaxy has exceeded my expectations!,2016-08-02 09:54:32,t
OnePlus,The OnePlus has exceeded my expectations!,2016-09-15 01:29:22,t
Xiaomi,The Xiaomi is a great value for the price.,2016-08-15 21:31:49,t
Google Pixel,Experiencing connectivity issues with the Google Pixel.,2016-09-22 23:52:24,t
Samsung Galaxy,I'm impressed with the build quality of the Samsung Galaxy.,2016-07-11 04:36:06,t
OnePlus,The camera on the OnePlus is disappointing.,2016-09-24 06:54:10,t
Google Pixel,The Google Pixel is really sleek and fast.,2016-09-06 23:02:23,t
Samsung Galaxy,Not too impressed with the Samsung Galaxy. Expected more.,2016-09-28 13:46:22,t
iPhone,Not too impressed with the iPhone. Expected more.,2016-07-01 05:37:28,t
Samsung Galaxy,The Samsung Galaxy keeps crashing. Frustrated!,2016-08-07 17:43:24,t
Google Pixel,The Google Pixel is really sleek and fast.,2016-08-13 19:09:31,t
Samsung Galaxy,The Samsung Galaxy is really sleek and fast.,2016-07-05 16:56:46,t
OnePlus,Just got my new OnePlus! Loving it so far.,2016-07-22 09:13:54,t
iPhone,Not too impressed with the iPhone. Expected more.,2016-07-12 11:33:40,t
Google Pixel,Experiencing connectivity issues with the Google Pixel.,2016-09-13 15:21:47,t
Google Pixel,Touchscreen on my Google Pixel is unresponsive at times.,2016-08-01 05:27:53,t
Google Pixel,My Google Pixel is slower than expected.,2016-07-29 22:18:29,t
Google Pixel,The Google Pixel keeps crashing. Frustrated!,2016-08-15 05:32:46,t
Samsung Galaxy,The Samsung Galaxy is a great value for the price.,2016-09-24 11:03:29,t
iPhone,I'm impressed with the build quality of the iPhone.,2016-09-22 18:08:08,t
Google Pixel,Why is my Google Pixel overheating?,2016-08-30 01:35:09,t
Xiaomi,Experiencing connectivity issues with the Xiaomi.,2016-08-15 16:05:44,t
Samsung Galaxy,Just got my new Samsung Galaxy! Loving it so far.,2016-09-03 17:28:46,t
OnePlus,Why is my OnePlus overheating?,2016-07-15 10:11:19,t
Samsung Galaxy,Really happy with the performance of my new Samsung Galaxy.,2016-09-04 06:44:33,t
OnePlus,The display on the OnePlus is so vibrant and clear.,2016-08-19 03:00:45,t
Google Pixel,The Google Pixel keeps crashing. Frustrated!,2016-08-26 02:54:07,t
iPhone,Having some issues with my iPhone. Anyone else?,2016-08-31 17:51:31,t
Xiaomi,The Xiaomi is a great value for the price.,2016-08-07 00:08:30,t
Xiaomi,Why is my Xiaomi overheating?,2016-09-22 11:30:07,t
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-07-02 13:16:36,t
iPhone,The display on the iPhone is so vibrant and clear.,2016-09-08 21:34:14,t
Google Pixel,My Google Pixel is slower than expected.,2016-08-17 13:58:46,t
iPhone,The iPhone is really sleek and fast.,2016-07-23 16:10:04,t
OnePlus,Really happy with the performance of my new OnePlus.,2016-08-26 11:33:53,t
Samsung Galaxy,Having some issues with my Samsung Galaxy. Anyone else?,2016-08-23 15:25:01,t
Google Pixel,My Google Pixel is slower than expected.,2016-08-30 02:23:43,t
iPhone,The iPhone has exceeded my expectations!,2016-08-17 04:21:23,t
Xiaomi,My Xiaomi runs all my apps smoothly.,2016-09-13 00:23:49,t
iPhone,The iPhone is a great value for the price.,2016-09-26 06:46:18,t
Google Pixel,The Google Pixel is a great value for the price.,2016-09-07 16:01:20,t
OnePlus,I'm impressed with the build quality of the OnePlus.,2016-08-20 08:35:53,t
iPhone,Really happy with the performance of my new iPhone.,2016-09-08 20:02:09,t
