product,content,date_time,sentiment
Xiaomi,Experiencing connectivity issues with the {}.,2016-08-17 23:16:58,neutral
OnePlus,The camera on the {} is disappointing.,2016-08-07 00:44:15,negative
Google Pixel,The camera quality on the {} is amazing.,2016-07-01 15:38:52,positive
Xiaomi,The camera on the {} is disappointing.,2016-07-11 00:51:27,negative
iPhone,Having some issues with my {}. Anyone else?,2016-09-15 16:42:21,neutral
Google Pixel,The phone's build quality feels cheap and fragile.,2016-08-30 12:27:36,negative
Google Pixel,The camera on the {} is disappointing.,2016-08-25 04:13:53,negative
Xiaomi,Really happy with the performance of my new {}.,2016-09-18 18:35:37,positive
iPhone,The {} keeps crashing. Frustrated!,2016-09-20 14:06:00,negative
OnePlus,The phone heats up too quickly during gaming sessions.,2016-09-23 22:40:41,negative
Xiaomi,The phone's build quality feels cheap and fragile.,2016-07-05 23:59:21,negative
iPhone,"The display is so vibrant and clear, absolutely love it!",2016-08-07 12:01:25,positive
Xiaomi,I hate how slow the phone gets after a few months.,2016-08-08 10:58:41,negative
Google Pixel,I hate how slow the phone gets after a few months.,2016-08-18 11:47:57,negative
iPhone,Experiencing connectivity issues with the {}.,2016-08-16 09:24:53,negative
Google Pixel,Touchscreen on my {} is unresponsive at times.,2016-08-14 19:01:57,neutral
iPhone,The {} has exceeded my expectations!,2016-07-07 22:22:26,positive
Google Pixel,Experiencing connectivity issues with the {}.,2016-07-08 12:27:26,negative
OnePlus,The {} is a great value for the price.,2016-07-22 02:03:53,positive
iPhone,I regret buying the {}. Not worth the money.,2016-07-09 06:21:47,negative
Samsung Galaxy,Why is my {} overheating?,2016-09-08 14:48:22,negative
Google Pixel,My {} is slower than expected.,2016-09-27 23:41:16,neutral
iPhone,I regret buying the {}. Not worth the money.,2016-09-06 20:29:13,negative
Samsung Galaxy,The camera quality on the {} is amazing.,2016-08-12 17:55:55,positive
Xiaomi,The camera quality on the {} is amazing.,2016-07-18 00:20:45,positive
OnePlus,"It's a good phone, but the speaker isn't very loud.",2016-09-22 00:30:01,neutral
Samsung Galaxy,I hate how slow the phone gets after a few months.,2016-09-17 23:10:25,negative
iPhone,The phone heats up too quickly during gaming sessions.,2016-09-18 23:02:51,negative
OnePlus,The display on the {} is okay.,2016-09-08 01:21:59,neutral
Google Pixel,The camera quality on the {} is amazing.,2016-07-23 03:57:55,positive
Xiaomi,My {} runs all my apps smoothly.,2016-09-22 13:59:11,positive
Xiaomi,The phone's build quality feels cheap and fragile.,2016-08-06 15:41:16,negative
OnePlus,The {} is a great value for the price.,2016-09-20 07:16:04,positive
Samsung Galaxy,The display on the {} is okay.,2016-09-01 13:51:46,neutral
OnePlus,The camera quality on the {} is amazing.,2016-09-15 22:12:30,positive
Samsung Galaxy,The camera on the {} is disappointing.,2016-08-29 21:23:12,negative
Google Pixel,Why is my {} overheating?,2016-07-08 01:18:38,negative
iPhone,Battery life on the {} is excellent.,2016-09-14 00:26:27,positive
OnePlus,My {} runs all my apps smoothly.,2016-07-20 11:28:09,positive
Xiaomi,The {} is really sleek and fast.,2016-09-08 14:16:25,positive
Samsung Galaxy,The phone heats up too quickly during gaming sessions.,2016-08-01 05:45:58,negative
Google Pixel,"It's a good phone, but the speaker isn't very loud.",2016-08-12 06:27:41,neutral
OnePlus,"The camera quality is decent, but could be better.",2016-09-20 23:11:19,neutral
Samsung Galaxy,The {} has exceeded my expectations!,2016-09-13 22:04:41,positive
OnePlus,The display on the {} is okay.,2016-08-26 20:18:19,neutral
Samsung Galaxy,The phone's build quality feels cheap and fragile.,2016-09-20 16:17:08,negative
iPhone,"The display is so vibrant and clear, absolutely love it!",2016-08-14 01:39:30,positive
Xiaomi,"It's a good phone, but the speaker isn't very loud.",2016-09-04 07:38:31,neutral
OnePlus,My {} is slower than expected.,2016-07-09 21:41:35,negative
Xiaomi,Having some issues with my {}. Anyone else?,2016-08-27 13:06:48,neutral
iPhone,The {} keeps crashing. Frustrated!,2016-07-06 18:35:13,negative
Samsung Galaxy,The camera on the {} is disappointing.,2016-09-23 01:14:17,negative
Google Pixel,Not too impressed with the {}. Expected more.,2016-07-25 01:56:14,neutral
Google Pixel,Having some issues with my {}. Anyone else?,2016-07-19 21:00:14,neutral
Xiaomi,My {} runs all my apps smoothly.,2016-07-31 01:22:56,positive
Google Pixel,The phone heats up too quickly during gaming sessions.,2016-08-03 14:55:34,negative
Google Pixel,Not too impressed with the {}. Expected more.,2016-08-05 01:57:08,neutral
OnePlus,The display on the {} is okay.,2016-09-09 12:40:35,neutral
