product,content,date_time
OnePlus,Just got my new OnePlus! Loving it so far.,2016-07-11 18:20:27
Xiaomi,The display on the Xiaomi is so vibrant and clear.,2016-09-22 19:45:28
Xiaomi,Experiencing connectivity issues with the Xiaomi.,2016-07-10 14:46:05
Samsung Galaxy,Experiencing connectivity issues with the Samsung Galaxy.,2016-07-11 14:28:30
Google Pixel,I regret buying the Google Pixel. Not worth the money.,2016-07-24 01:35:34
Google Pixel,Battery life on the Google Pixel could be better.,2016-07-15 15:31:22
OnePlus,Not too impressed with the OnePlus. Expected more.,2016-09-10 12:34:29
Xiaomi,Having some issues with my Xiaomi. Anyone else?,2016-08-03 20:40:29
OnePlus,Really happy with the performance of my new OnePlus.,2016-09-01 00:49:03
Samsung Galaxy,The Samsung Galaxy has exceeded my expectations!,2016-07-25 23:22:36
Google Pixel,I'm impressed with the build quality of the Google Pixel.,2016-07-19 21:28:41
iPhone,The iPhone keeps crashing. Frustrated!,2016-07-03 04:54:22
iPhone,The camera quality on the iPhone is amazing.,2016-08-29 12:10:40
iPhone,The iPhone is really sleek and fast.,2016-07-01 18:14:16
Samsung Galaxy,Not too impressed with the Samsung Galaxy. Expected more.,2016-09-08 06:30:53
OnePlus,The camera quality on the OnePlus is amazing.,2016-08-19 23:56:48
OnePlus,Why is my OnePlus overheating?,2016-07-18 01:56:27
OnePlus,I'm impressed with the build quality of the OnePlus.,2016-09-03 21:22:42
Xiaomi,My Xiaomi runs all my apps smoothly.,2016-07-16 12:58:05
iPhone,The camera quality on the iPhone is amazing.,2016-08-03 05:47:01
Samsung Galaxy,The Samsung Galaxy is a great value for the price.,2016-08-30 17:31:51
Xiaomi,The camera quality on the Xiaomi is amazing.,2016-09-01 09:22:40
iPhone,Not too impressed with the iPhone. Expected more.,2016-07-25 08:37:52
Samsung Galaxy,Why is my Samsung Galaxy overheating?,2016-07-13 01:34:59
iPhone,Touchscreen on my iPhone is unresponsive at times.,2016-09-12 01:23:35
iPhone,Not too impressed with the iPhone. Expected more.,2016-07-12 17:49:28
Google Pixel,The Google Pixel is really sleek and fast.,2016-07-11 19:25:49
iPhone,Having some issues with my iPhone. Anyone else?,2016-07-04 00:59:27
Google Pixel,I regret buying the Google Pixel. Not worth the money.,2016-09-20 02:00:18
Google Pixel,I'm impressed with the build quality of the Google Pixel.,2016-08-11 02:41:01
OnePlus,Why is my OnePlus overheating?,2016-09-29 04:36:42
Xiaomi,Battery life on the Xiaomi could be better.,2016-09-05 22:56:32
iPhone,Just got my new iPhone! Loving it so far.,2016-08-03 08:06:02
Xiaomi,The Xiaomi has exceeded my expectations!,2016-09-07 13:41:36
Xiaomi,Really happy with the performance of my new Xiaomi.,2016-08-24 00:14:35
Samsung Galaxy,Battery life on the Samsung Galaxy is excellent.,2016-09-13 23:31:04
OnePlus,Why is my OnePlus overheating?,2016-09-11 06:36:40
OnePlus,The camera on the OnePlus is disappointing.,2016-07-02 01:50:32
Xiaomi,Battery life on the Xiaomi is excellent.,2016-07-10 20:01:59
OnePlus,Really happy with the performance of my new OnePlus.,2016-07-12 07:21:13
iPhone,The camera quality on the iPhone is amazing.,2016-09-11 05:00:34
iPhone,The display on the iPhone is so vibrant and clear.,2016-08-26 03:15:36
iPhone,The iPhone keeps crashing. Frustrated!,2016-08-18 15:38:30
Xiaomi,The Xiaomi keeps crashing. Frustrated!,2016-09-21 04:52:01
OnePlus,Having some issues with my OnePlus. Anyone else?,2016-07-10 23:28:30
Google Pixel,The Google Pixel is a great value for the price.,2016-07-17 05:04:56
Xiaomi,The Xiaomi is a great value for the price.,2016-08-24 03:19:05
iPhone,The camera quality on the iPhone is amazing.,2016-08-23 23:51:20
Samsung Galaxy,My Samsung Galaxy runs all my apps smoothly.,2016-07-15 09:56:07
Google Pixel,Why is my Google Pixel overheating?,2016-08-12 21:53:42
OnePlus,Really happy with the performance of my new OnePlus.,2016-09-24 06:26:20
iPhone,Not too impressed with the iPhone. Expected more.,2016-09-02 21:35:29
iPhone,The camera on the iPhone is disappointing.,2016-09-17 07:04:31
OnePlus,The OnePlus is a great value for the price.,2016-08-24 13:44:21
Google Pixel,The Google Pixel is really sleek and fast.,2016-09-11 03:32:45
Xiaomi,My Xiaomi runs all my apps smoothly.,2016-09-05 06:20:43
iPhone,Why is my iPhone overheating?,2016-08-09 01:51:57
Xiaomi,My Xiaomi runs all my apps smoothly.,2016-07-20 10:38:47
iPhone,My iPhone is slower than expected.,2016-07-05 17:51:32
OnePlus,The OnePlus is a great value for the price.,2016-07-15 23:47:20
Xiaomi,The camera on the Xiaomi is disappointing.,2016-07-21 03:18:43
Google Pixel,Why is my Google Pixel overheating?,2016-09-28 02:40:36
Google Pixel,I regret buying the Google Pixel. Not worth the money.,2016-09-11 04:55:11
Xiaomi,The camera quality on the Xiaomi is amazing.,2016-07-27 03:40:05
Samsung Galaxy,The Samsung Galaxy has exceeded my expectations!,2016-08-02 09:54:32
OnePlus,The OnePlus has exceeded my expectations!,2016-09-15 01:29:22
Xiaomi,The Xiaomi is a great value for the price.,2016-08-15 21:31:49
Google Pixel,Experiencing connectivity issues with the Google Pixel.,2016-09-22 23:52:24
Samsung Galaxy,I'm impressed with the build quality of the Samsung Galaxy.,2016-07-11 04:36:06
OnePlus,The camera on the OnePlus is disappointing.,2016-09-24 06:54:10
Google Pixel,The Google Pixel is really sleek and fast.,2016-09-06 23:02:23
Samsung Galaxy,Not too impressed with the Samsung Galaxy. Expected more.,2016-09-28 13:46:22
iPhone,Not too impressed with the iPhone. Expected more.,2016-07-01 05:37:28
Samsung Galaxy,The Samsung Galaxy keeps crashing. Frustrated!,2016-08-07 17:43:24
Google Pixel,The Google Pixel is really sleek and fast.,2016-08-13 19:09:31
Samsung Galaxy,The Samsung Galaxy is really sleek and fast.,2016-07-05 16:56:46
OnePlus,Just got my new OnePlus! Loving it so far.,2016-07-22 09:13:54
iPhone,Not too impressed with the iPhone. Expected more.,2016-07-12 11:33:40
Google Pixel,Experiencing connectivity issues with the Google Pixel.,2016-09-13 15:21:47
Google Pixel,Touchscreen on my Google Pixel is unresponsive at times.,2016-08-01 05:27:53
Google Pixel,My Google Pixel is slower than expected.,2016-07-29 22:18:29
Google Pixel,The Google Pixel keeps crashing. Frustrated!,2016-08-15 05:32:46
Samsung Galaxy,The Samsung Galaxy is a great value for the price.,2016-09-24 11:03:29
iPhone,I'm impressed with the build quality of the iPhone.,2016-09-22 18:08:08
Google Pixel,Why is my Google Pixel overheating?,2016-08-30 01:35:09
Xiaomi,Experiencing connectivity issues with the Xiaomi.,2016-08-15 16:05:44
Samsung Galaxy,Just got my new Samsung Galaxy! Loving it so far.,2016-09-03 17:28:46
OnePlus,Why is my OnePlus overheating?,2016-07-15 10:11:19
Samsung Galaxy,Really happy with the performance of my new Samsung Galaxy.,2016-09-04 06:44:33
OnePlus,The display on the OnePlus is so vibrant and clear.,2016-08-19 03:00:45
Google Pixel,The Google Pixel keeps crashing. Frustrated!,2016-08-26 02:54:07
iPhone,Having some issues with my iPhone. Anyone else?,2016-08-31 17:51:31
Xiaomi,The Xiaomi is a great value for the price.,2016-08-07 00:08:30
Xiaomi,Why is my Xiaomi overheating?,2016-09-22 11:30:07
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-07-02 13:16:36
iPhone,The display on the iPhone is so vibrant and clear.,2016-09-08 21:34:14
Google Pixel,My Google Pixel is slower than expected.,2016-08-17 13:58:46
iPhone,The iPhone is really sleek and fast.,2016-07-23 16:10:04
OnePlus,Really happy with the performance of my new OnePlus.,2016-08-26 11:33:53
Samsung Galaxy,Having some issues with my Samsung Galaxy. Anyone else?,2016-08-23 15:25:01
Google Pixel,My Google Pixel is slower than expected.,2016-08-30 02:23:43
iPhone,The iPhone has exceeded my expectations!,2016-08-17 04:21:23
Xiaomi,My Xiaomi runs all my apps smoothly.,2016-09-13 00:23:49
iPhone,The iPhone is a great value for the price.,2016-09-26 06:46:18
Google Pixel,The Google Pixel is a great value for the price.,2016-09-07 16:01:20
OnePlus,I'm impressed with the build quality of the OnePlus.,2016-08-20 08:35:53
iPhone,Really happy with the performance of my new iPhone.,2016-09-08 20:02:09
Xiaomi,The Xiaomi is really sleek and fast.,2016-08-31 15:00:38
iPhone,The camera on the iPhone is disappointing.,2016-08-08 04:43:35
Samsung Galaxy,My Samsung Galaxy runs all my apps smoothly.,2016-07-07 00:07:50
Xiaomi,Battery life on the Xiaomi is excellent.,2016-08-04 11:25:50
Google Pixel,Not too impressed with the Google Pixel. Expected more.,2016-07-27 07:44:22
Xiaomi,Experiencing connectivity issues with the Xiaomi.,2016-09-05 20:07:10
Google Pixel,Really happy with the performance of my new Google Pixel.,2016-07-01 19:47:08
OnePlus,The camera on the OnePlus is disappointing.,2016-09-04 12:00:07
OnePlus,The OnePlus keeps crashing. Frustrated!,2016-07-02 06:00:59
OnePlus,Touchscreen on my OnePlus is unresponsive at times.,2016-09-12 02:03:04
Samsung Galaxy,I'm impressed with the build quality of the Samsung Galaxy.,2016-09-23 10:41:09
OnePlus,Battery life on the OnePlus could be better.,2016-07-01 06:53:40
Samsung Galaxy,Battery life on the Samsung Galaxy is excellent.,2016-08-31 16:37:23
Google Pixel,Touchscreen on my Google Pixel is unresponsive at times.,2016-09-25 00:41:01
Samsung Galaxy,Having some issues with my Samsung Galaxy. Anyone else?,2016-07-22 10:24:01
Samsung Galaxy,Really happy with the performance of my new Samsung Galaxy.,2016-08-20 05:04:41
OnePlus,The camera on the OnePlus is disappointing.,2016-08-01 11:36:33
Google Pixel,I'm impressed with the build quality of the Google Pixel.,2016-08-04 14:19:29
Xiaomi,Battery life on the Xiaomi is excellent.,2016-09-20 16:40:47
Samsung Galaxy,Just got my new Samsung Galaxy! Loving it so far.,2016-07-18 11:34:36
OnePlus,Touchscreen on my OnePlus is unresponsive at times.,2016-09-11 20:42:46
iPhone,Battery life on the iPhone is excellent.,2016-09-25 04:41:58
Xiaomi,The display on the Xiaomi is so vibrant and clear.,2016-08-21 10:23:08
Google Pixel,The Google Pixel keeps crashing. Frustrated!,2016-07-11 01:11:32
iPhone,Experiencing connectivity issues with the iPhone.,2016-07-05 21:06:44
Xiaomi,Touchscreen on my Xiaomi is unresponsive at times.,2016-08-31 13:51:47
iPhone,Experiencing connectivity issues with the iPhone.,2016-07-28 03:59:30
Google Pixel,The Google Pixel is a great value for the price.,2016-09-04 19:28:41
Samsung Galaxy,My Samsung Galaxy is slower than expected.,2016-07-04 13:12:39
Google Pixel,The Google Pixel is really sleek and fast.,2016-09-28 17:04:13
Samsung Galaxy,My Samsung Galaxy is slower than expected.,2016-07-27 02:29:51
Google Pixel,Really happy with the performance of my new Google Pixel.,2016-07-08 05:26:07
Samsung Galaxy,My Samsung Galaxy runs all my apps smoothly.,2016-09-08 22:03:25
Samsung Galaxy,The Samsung Galaxy keeps crashing. Frustrated!,2016-08-25 08:14:16
Google Pixel,Battery life on the Google Pixel is excellent.,2016-09-22 02:26:55
OnePlus,My OnePlus is slower than expected.,2016-08-21 12:16:38
iPhone,Touchscreen on my iPhone is unresponsive at times.,2016-08-21 08:22:32
Google Pixel,I'm impressed with the build quality of the Google Pixel.,2016-08-26 12:45:26
iPhone,I'm impressed with the build quality of the iPhone.,2016-08-15 23:24:44
